Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1583.2723999999998
FDW14,OUT017,1279.5742072398189
NCN55,OUT010,542.9755395973154
FDQ58,OUT017,2206.710875
FDY38,OUT027,5669.16335142857
FDH56,OUT046,1874.4309598591553
FDL48,OUT018,754.596095726496
FDC48,OUT027,2513.079854666667
FDN33,OUT045,1517.6348566210047
FDA36,OUT017,2991.4784008368206
FDT44,OUT017,1874.4309598591553
FDQ56,OUT045,1279.5742072398189
NCC54,OUT019,542.9755395973154
FDU11,OUT049,2153.3142637362625
DRL59,OUT013,754.596095726496
FDM24,OUT049,2206.710875
FDI57,OUT045,2880.9695613636377
DRC12,OUT018,2880.9695613636377
NCM42,OUT027,3175.335988157896
FDA46,OUT010,542.9755395973154
FDA31,OUT013,2736.96842987552
NCJ31,OUT035,3593.141235125449
FDG52,OUT046,754.596095726496
NCL19,OUT019,286.41777051282054
FDS10,OUT035,2880.9695613636377
FDX22,OUT010,542.9755395973154
NCF19,OUT035,754.596095726496
NCE06,OUT046,2524.0256066666707
DRC27,OUT046,4109.900606217616
FDE21,OUT035,1874.4309598591553
NCR42,OUT019,130.33349056603774
FDX51,OUT018,2991.4784008368206
NCR06,OUT018,637.5735090128752
FDU31,OUT027,5669.16335142857
FDU59,OUT017,2524.0256066666707
FDR03,OUT027,5669.16335142857
FDS49,OUT027,2513.079854666667
FDD48,OUT010,286.41777051282054
NCF18,OUT017,2880.9695613636377
NCD43,OUT027,2513.079854666667
NCD54,OUT018,1927.3871924731181
FDY19,OUT010,286.41777051282054
NCY54,OUT017,2997.4076790419163
NCL19,OUT018,2559.252954117647
FDP23,OUT010,542.9755395973154
FDC26,OUT013,1583.2723999999998
FDR14,OUT010,130.33349056603774
NCS41,OUT035,3389.2269793548357
FDF41,OUT035,3593.141235125449
FDU34,OUT046,2153.3142637362625
DRH11,OUT046,876.3205797979805
FDM03,OUT013,1583.2723999999998
FDS31,OUT017,3389.2269793548357
FDJ20,OUT017,2061.466692146596
FDV44,OUT027,5669.16335142857
FDG02,OUT049,2991.4784008368206
FDA09,OUT013,2736.96842987552
FDT04,OUT013,637.5735090128752
FDL58,OUT019,542.9755395973154
FDE52,OUT045,1449.3843029239774
FDW12,OUT035,2559.252954117647
FDL51,OUT017,3753.0000993630583
NCY42,OUT027,3175.335988157896
FDR07,OUT017,1517.6348566210047
FDN40,OUT045,2206.710875
FDB35,OUT027,2513.079854666667
FDA22,OUT017,2524.0256066666707
NCL06,OUT046,4311.576251315789
FDI35,OUT013,3389.2269793548357
NCW42,OUT045,3753.0000993630583
NCX06,OUT049,2736.96842987552
FDC37,OUT027,3175.335988157896
FDZ14,OUT018,1927.3871924731181
DRG49,OUT049,3593.141235125449
NCG06,OUT045,4131.978437869821
DRC36,OUT045,2997.4076790419163
FDV21,OUT019,286.41777051282054
FDB53,OUT046,2538.137359537572
DRP47,OUT019,542.9755395973154
FDA14,OUT013,2559.252954117647
DRC24,OUT035,2538.137359537572
FDW21,OUT018,1740.9861528571435
NCH29,OUT046,1517.6348566210047
FDU58,OUT013,2991.4784008368206
FDY27,OUT017,2736.96842987552
FDV56,OUT035,1740.9861528571435
FDT59,OUT046,4109.900606217616
FDB23,OUT046,3753.0000993630583
FDR49,OUT045,754.596095726496
FDB03,OUT010,542.9755395973154
FDN39,OUT045,2524.0256066666707
FDX02,OUT027,5669.16335142857
FDQ16,OUT027,3175.335988157896
FDU35,OUT018,1517.6348566210047
NCT29,OUT013,2153.3142637362625
FDZ27,OUT046,754.596095726496
FDN57,OUT017,2061.466692146596
FDA03,OUT018,2559.252954117647
FDZ36,OUT045,3389.2269793548357
NCU05,OUT013,1449.3843029239774
FDT39,OUT018,2206.710875
FDK60,OUT017,1517.6348566210047
FDZ25,OUT017,2797.6511370165726
FDG12,OUT046,2153.3142637362625
DRB01,OUT019,542.9755395973154
NCC43,OUT027,5669.16335142857
FDX13,OUT019,542.9755395973154
FDM22,OUT049,876.3205797979805
FDJ03,OUT027,1378.2631852760742
FDU14,OUT018,3327.9525829268273
FDB33,OUT010,384.48867398374
FDP27,OUT046,3239.500606622515
FDO38,OUT010,130.33349056603774
FDE28,OUT027,5669.16335142857
FDO27,OUT035,1517.6348566210047
DRL23,OUT027,3175.335988157896
FDS28,OUT046,876.3205797979805
FDX24,OUT013,1449.3843029239774
FDZ02,OUT035,1517.6348566210047
FDL46,OUT045,1874.4309598591553
FDS60,OUT027,5669.16335142857
NCO06,OUT017,552.550210778443
FDO16,OUT035,1449.3843029239774
FDC60,OUT049,1279.5742072398189
FDA48,OUT018,3327.9525829268273
FDZ36,OUT027,5669.16335142857
FDK27,OUT045,1927.3871924731181
