Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1563.4724615888586
FDW14,OUT017,1345.7948645582626
NCN55,OUT010,1286.1563714671065
FDQ58,OUT017,2283.733582584223
FDY38,OUT027,5936.6093811744995
FDH56,OUT046,1509.501675276103
FDL48,OUT018,606.392030676004
FDC48,OUT027,2014.9042938818382
FDN33,OUT045,1440.4472556768421
FDA36,OUT017,2918.3075912459813
FDT44,OUT017,1772.679566930001
FDQ56,OUT045,1513.8535666048535
NCC54,OUT019,758.6438620734068
FDU11,OUT049,2037.408265589063
DRL59,OUT013,708.3855633345742
FDM24,OUT049,2523.8733887460585
FDI57,OUT045,2858.1461497254404
DRC12,OUT018,2908.86142103236
NCM42,OUT027,2889.4024435746883
FDA46,OUT010,599.7692294471191
FDA31,OUT013,2704.1321572754637
NCJ31,OUT035,3586.215489382453
FDG52,OUT046,827.2311093301412
NCL19,OUT019,212.88550092184698
FDS10,OUT035,3024.558435980768
FDX22,OUT010,764.8993053613186
NCF19,OUT035,696.9163190240489
NCE06,OUT046,2270.8432431827882
DRC27,OUT046,3560.2884965079907
FDE21,OUT035,2372.1865933846507
NCR42,OUT019,15.035580586032424
FDX51,OUT018,2750.2928167543882
NCR06,OUT018,481.70893290526294
FDU31,OUT027,5260.928728849376
FDU59,OUT017,1966.3643205642911
FDR03,OUT027,5614.104315245912
FDS49,OUT027,2308.0013189679485
FDD48,OUT010,283.98629349983804
NCF18,OUT017,3271.90769581021
NCD43,OUT027,2428.3037139230923
NCD54,OUT018,1518.762225520967
FDY19,OUT010,199.69394367780558
NCY54,OUT017,2588.0814684444845
NCL19,OUT018,1989.2759024324112
FDP23,OUT010,724.5771792575816
FDC26,OUT013,1704.0774012656232
FDR14,OUT010,76.68190207325489
NCS41,OUT035,3300.618961624984
FDF41,OUT035,3403.286144526363
FDU34,OUT046,1901.132042409931
DRH11,OUT046,1000.4861315603795
FDM03,OUT013,1673.6241490004772
FDS31,OUT017,3250.4767359196053
FDJ20,OUT017,1959.9425325935904
FDV44,OUT027,5141.9385997181535
FDG02,OUT049,2704.8471962257763
FDA09,OUT013,3219.788548013901
FDT04,OUT013,566.5644261759062
FDL58,OUT019,594.307297947543
FDE52,OUT045,1334.5706962268287
FDW12,OUT035,2554.2890195312198
FDL51,OUT017,3531.513476374065
NCY42,OUT027,3249.796557060759
FDR07,OUT017,1441.491124876324
FDN40,OUT045,2005.0396517208837
FDB35,OUT027,2477.7340090455505
FDA22,OUT017,2308.208706747829
NCL06,OUT046,4534.780340815101
FDI35,OUT013,3466.359938104939
NCW42,OUT045,4151.233801941868
NCX06,OUT049,3025.151964483166
FDC37,OUT027,2570.1741375026445
FDZ14,OUT018,1927.4427263892408
DRG49,OUT049,4444.782252176086
NCG06,OUT045,3241.020542403142
DRC36,OUT045,2824.334422585772
FDV21,OUT019,328.13722947851386
FDB53,OUT046,2766.5621015146653
DRP47,OUT019,592.2835686306202
FDA14,OUT013,2622.3983755258328
DRC24,OUT035,2894.158709070217
FDW21,OUT018,1732.811988472125
NCH29,OUT046,1637.5748802545145
FDU58,OUT013,3273.2920563412877
FDY27,OUT017,2617.1570793562087
FDV56,OUT035,1685.1904275635907
FDT59,OUT046,3595.0232716398646
FDB23,OUT046,2682.1125490614854
FDR49,OUT045,867.2045815592936
FDB03,OUT010,570.2003968697202
FDN39,OUT045,2599.2090778729007
FDX02,OUT027,5664.957755353893
FDQ16,OUT027,2714.9481797740514
FDU35,OUT018,1530.4548878314765
NCT29,OUT013,1911.1933807015669
FDZ27,OUT046,776.7313590944476
FDN57,OUT017,2074.7774664716794
FDA03,OUT018,2211.2574777856184
FDZ36,OUT045,2975.0369284915178
NCU05,OUT013,1150.0309772643798
FDT39,OUT018,2179.316430391824
FDK60,OUT017,1529.7095338949475
FDZ25,OUT017,3086.629591388761
FDG12,OUT046,2292.9535959739974
DRB01,OUT019,654.8993901095063
NCC43,OUT027,6280.046214794107
FDX13,OUT019,873.2578041458306
FDM22,OUT049,986.6724177324774
FDJ03,OUT027,1306.823862862883
FDU14,OUT018,3975.9170413035463
FDB33,OUT010,616.2837614752675
FDP27,OUT046,3572.384321285055
FDO38,OUT010,158.91724630533454
FDE28,OUT027,5999.726800398748
FDO27,OUT035,1522.6450546888439
DRL23,OUT027,2364.27394881822
FDS28,OUT046,982.9640933642816
FDX24,OUT013,1274.775582051415
FDZ02,OUT035,1449.0962232631061
FDL46,OUT045,1554.4507023502372
FDS60,OUT027,5139.15042794126
NCO06,OUT017,415.22262201766375
FDO16,OUT035,1764.151234615421
FDC60,OUT049,1471.1809249899472
FDA48,OUT018,3246.5367525036304
FDZ36,OUT027,4984.438661883927
FDK27,OUT045,1793.3875492204859
FDW23,OUT018,503.01351070192555
FDM14,OUT018,1465.4413708022716
FDM14,OUT013,1694.6196734816035
FDW60,OUT018,2680.1111429612433
FDE21,OUT013,2137.3322120658704
NCM42,OUT035,1861.7971416868156
FDY59,OUT010,220.0647174956263
DRI49,OUT049,1207.0464872010134
FDT28,OUT019,308.3180330388536
FDQ22,OUT018,326.3793712937079
FDR60,OUT049,1258.4324371928965
FDC50,OUT019,264.05428295598693
FDV24,OUT013,2267.7849751555973
DRF48,OUT010,380.2114821658903
FDQ47,OUT046,627.4701210054598
DRN36,OUT049,1675.606315085156
NCY06,OUT035,2237.4368238629518
FDE52,OUT035,1535.0999888991853
NCB54,OUT045,1711.5067641233452
NCF31,OUT035,2415.8948109658054
FDJ08,OUT027,4964.926393205206
NCC07,OUT017,1774.0774261038864
NCD19,OUT027,1631.318663552764
FDL46,OUT049,1575.7874131240453
FDM20,OUT045,4583.037033721483
NCI06,OUT010,725.3153166793974
DRM11,OUT035,4962.987950819656
NCH07,OUT018,2439.4424642264576
FDS23,OUT013,2248.7789071863913
FDO49,OUT018,711.3072164256583
FDS35,OUT049,1108.6919699572254
DRK39,OUT045,1257.3134509240115
DRI39,OUT049,1048.4480738087536
FDV04,OUT017,2347.3815291708893
NCN14,OUT035,3105.9489300041528
FDH08,OUT013,4172.087901854706
FDS20,OUT046,3493.1576342940484
FDV40,OUT049,1183.5371401298903
FDZ48,OUT010,262.80241467555976
FDS24,OUT027,2434.0011707984763
FDK44,OUT049,2403.253330900286
FDS48,OUT045,2567.450233643975
FDK26,OUT010,576.5988815684344
FDD23,OUT045,2935.9361120106087
NCH54,OUT017,2896.8681289298474
NCP14,OUT010,237.265353316401
FDM60,OUT010,140.26904464554835
FDV24,OUT017,2183.295417572385
FDH08,OUT018,2730.4511991209647
FDS12,OUT027,3353.348901330735
FDR39,OUT027,5174.448399558177
FDP12,OUT027,1004.5081517496841
DRF60,OUT027,5668.021115651233
FDC09,OUT035,1968.955475649903
FDF50,OUT018,2835.1192850951006
FDG28,OUT035,3589.4537121808567
NCE19,OUT017,872.7111306429222
NCM53,OUT010,114.53282748068641
NCN18,OUT049,1739.3287812632084
FDF32,OUT035,3585.5865610505534
FDF11,OUT013,4176.9939248190785
