Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1843.3735469099993
FDW14,OUT017,1581.3917410577092
NCN55,OUT010,1883.2528459849746
FDQ58,OUT017,2598.656823278882
FDY38,OUT027,5184.281640087482
FDH56,OUT046,1926.2099235141109
FDL48,OUT018,597.0245664366568
FDC48,OUT027,2782.3551744832153
FDN33,OUT045,1522.0851545220705
FDA36,OUT017,3097.1075684933517
FDT44,OUT017,2003.3811267444535
FDQ56,OUT045,1323.0595259023469
NCC54,OUT019,1856.9398383525124
FDU11,OUT049,2059.0004222662756
DRL59,OUT013,891.346818439438
FDM24,OUT049,2558.905603331556
FDI57,OUT045,3090.238805658157
DRC12,OUT018,2760.075010370641
NCM42,OUT027,3196.981041803812
FDA46,OUT010,1143.4988721722902
FDA31,OUT013,2807.253147734439
NCJ31,OUT035,3879.2731674757856
FDG52,OUT046,802.2508793649081
NCL19,OUT019,362.5678340385275
FDS10,OUT035,3018.65293365604
FDX22,OUT010,1446.942362528635
NCF19,OUT035,923.4001065373933
NCE06,OUT046,2541.019391785498
DRC27,OUT046,3850.7211291863687
FDE21,OUT035,2026.6898105791604
NCR42,OUT019,-1361.1775608467826
FDX51,OUT018,2868.9860983850913
NCR06,OUT018,428.15886972975443
FDU31,OUT027,4948.286716622542
FDU59,OUT017,2725.2980680086007
FDR03,OUT027,4754.97988574653
FDS49,OUT027,2757.834581320031
FDD48,OUT010,-62.53280822638226
NCF18,OUT017,3125.3877427286216
NCD43,OUT027,3101.7207360555644
NCD54,OUT018,1988.836517605056
FDY19,OUT010,-31.203691760912534
NCY54,OUT017,2828.6168111712923
NCL19,OUT018,2017.960721515457
FDP23,OUT010,1542.949098349061
FDC26,OUT013,1824.7114199635503
FDR14,OUT010,-1020.7546779996312
NCS41,OUT035,3029.6984794641235
FDF41,OUT035,4050.6092499239508
FDU34,OUT046,1997.7872718621045
DRH11,OUT046,933.0620842627039
FDM03,OUT013,1738.5233344273179
FDS31,OUT017,3034.9008379616657
FDJ20,OUT017,2105.2312749661833
FDV44,OUT027,4493.477490941841
FDG02,OUT049,3109.443990000736
FDA09,OUT013,2910.2498384019464
FDT04,OUT013,676.6828432392116
FDL58,OUT019,2290.821683448729
FDE52,OUT045,1430.9445966800556
FDW12,OUT035,2508.3511639288913
FDL51,OUT017,3535.965603945369
NCY42,OUT027,3692.238221238937
FDR07,OUT017,1671.0838680871095
FDN40,OUT045,2374.649852966893
FDB35,OUT027,2958.444718225765
FDA22,OUT017,2751.20645585795
NCL06,OUT046,4113.778763708225
FDI35,OUT013,2915.408195789967
NCW42,OUT045,3417.8281930970493
NCX06,OUT049,2939.036321255795
FDC37,OUT027,3200.7665631676796
FDZ14,OUT018,1735.633047269716
DRG49,OUT049,3958.5031978221814
NCG06,OUT045,3963.8181689726434
DRC36,OUT045,2731.330253536714
FDV21,OUT019,59.71764531069232
FDB53,OUT046,2355.91673270856
DRP47,OUT019,2039.1207556294914
FDA14,OUT013,2347.64369780366
DRC24,OUT035,2569.116350454748
FDW21,OUT018,1407.9276759037057
NCH29,OUT046,1557.779187819852
FDU58,OUT013,3079.5589477129543
FDY27,OUT017,2947.05621534708
FDV56,OUT035,1950.3495525432995
FDT59,OUT046,3656.961701280719
FDB23,OUT046,3618.850993413208
FDR49,OUT045,683.4347331723136
FDB03,OUT010,1901.4795051570204
FDN39,OUT045,2598.0812901452396
FDX02,OUT027,4983.569122902265
FDQ16,OUT027,3192.5891904369037
FDU35,OUT018,1331.5558995857132
NCT29,OUT013,1963.5610914611887
FDZ27,OUT046,822.2700332658635
FDN57,OUT017,2334.313629397825
FDA03,OUT018,2091.179486616723
FDZ36,OUT045,2934.383238270277
NCU05,OUT013,1327.7472680943802
FDT39,OUT018,2192.090706645724
FDK60,OUT017,1718.2230201405525
FDZ25,OUT017,2854.2564166764855
FDG12,OUT046,2017.7106761941127
DRB01,OUT019,1114.213849538291
NCC43,OUT027,5375.036439389238
FDX13,OUT019,2031.3662753273572
FDM22,OUT049,1029.085135267425
FDJ03,OUT027,2311.0467145908583
FDU14,OUT018,3672.94088376329
FDB33,OUT010,638.9283359930904
FDP27,OUT046,3016.8458149458447
FDO38,OUT010,-684.5982813521523
FDE28,OUT027,5147.744463117604
FDO27,OUT035,1708.9591654875765
DRL23,OUT027,3170.9176570058285
FDS28,OUT046,971.2937847426763
FDX24,OUT013,1544.636580326783
FDZ02,OUT035,1754.6279423054998
FDL46,OUT045,1795.0202634224877
FDS60,OUT027,4298.628812551857
NCO06,OUT017,645.9400675797513
FDO16,OUT035,1536.0997731044563
FDC60,OUT049,1551.7081935400445
FDA48,OUT018,3198.6269524231056
FDZ36,OUT027,4451.485388736279
FDK27,OUT045,1890.3547049569722
FDW23,OUT018,387.8589510644751
FDM14,OUT018,1507.3537064351044
FDM14,OUT013,1785.4771262056306
FDW60,OUT018,2606.3367773279015
FDE21,OUT013,1911.8885717780738
NCM42,OUT035,1890.0346784639173
FDY59,OUT010,-395.9353723776874
DRI49,OUT049,1379.7141099379996
FDT28,OUT019,511.24202957152147
FDQ22,OUT018,404.7110970925817
FDR60,OUT049,1333.1159111509448
FDC50,OUT019,-396.30215744167674
FDV24,OUT013,2448.6459291322685
DRF48,OUT010,1082.6742309330116
FDQ47,OUT046,651.9488628651442
DRN36,OUT049,1657.7061335828537
NCY06,OUT035,2176.295114475998
FDE52,OUT035,1648.2650391526158
NCB54,OUT045,1929.987828962561
NCF31,OUT035,2555.329793021007
FDJ08,OUT027,4453.130248937132
NCC07,OUT017,1800.2540478869112
NCD19,OUT027,2330.2478552409375
FDL46,OUT049,2005.4333002166504
FDM20,OUT045,3837.2655922494755
NCI06,OUT010,936.1190221194141
DRM11,OUT035,4225.419050488315
NCH07,OUT018,2214.234435884194
FDS23,OUT013,2094.105543499849
FDO49,OUT018,597.2934047171921
FDS35,OUT049,1165.225191482852
DRK39,OUT045,1273.8166914364353
DRI39,OUT049,1040.401840937457
FDV04,OUT017,2657.1652298928007
NCN14,OUT035,3006.7898532641893
FDH08,OUT013,3699.6328621737302
FDS20,OUT046,2912.0820207384236
FDV40,OUT049,1338.9190915515744
FDZ48,OUT010,-137.36289493061167
FDS24,OUT027,2914.9560271856685
FDK44,OUT049,2855.489261213874
FDS48,OUT045,2347.650894618722
FDK26,OUT010,1115.3395154218688
FDD23,OUT045,2980.6450849121998
NCH54,OUT017,2654.8971050958016
NCP14,OUT010,-234.92225462241174
FDM60,OUT010,-1188.1599650173148
FDV24,OUT017,2522.436151155513
FDH08,OUT018,3356.172822165835
FDS12,OUT027,3472.690156566523
FDR39,OUT027,4316.519845517027
FDP12,OUT027,2124.303888831774
DRF60,OUT027,5175.248435406695
FDC09,OUT035,1851.0912055365375
FDF50,OUT018,2865.785258769348
FDG28,OUT035,4045.868507556486
NCE19,OUT017,982.2867167759787
NCM53,OUT010,-215.53595360442876
NCN18,OUT049,1851.6949414330861
FDF32,OUT035,3299.57354580346
FDF11,OUT013,3869.5697283824397
DRI59,OUT049,3651.572764230197
NCG54,OUT035,2810.529970786589
FDM44,OUT046,1645.1098470339589
FDT57,OUT018,3466.7855416123357
FDV24,OUT046,2408.2125974745372
FDI50,OUT019,1756.286075386626
FDS09,OUT035,1041.48056073936
NCC31,OUT027,3897.331935284254
FDQ07,OUT019,1598.0657423504688
FDC22,OUT017,3165.2499269174887
FDZ56,OUT046,2701.0169625151048
FDZ40,OUT019,-994.038488401224
FDS46,OUT027,3397.7084485652167
DRD24,OUT045,2177.5652728837977
FDV45,OUT017,3117.3936597177567
FDL26,OUT045,2418.5969588712483
FDA56,OUT018,1711.9421394549327
FDN27,OUT046,1899.4035007023565
FDM20,OUT049,3976.360864317338
FDO16,OUT017,1476.5454880211548
FDL03,OUT035,3293.4601073949934
FDE58,OUT046,1879.8945182019465
FDI02,OUT027,3287.380799483462
NCC55,OUT019,-1265.0899549789433
FDR03,OUT018,3037.0664058672246
FDB14,OUT017,1642.6132435496093
FDR45,OUT013,3847.975000542005
NCN07,OUT017,2170.9049878983174
FDM51,OUT019,-195.088135769313
FDT52,OUT027,5365.977545054491
FDL26,OUT046,2455.578847447706
NCZ42,OUT046,3761.7652067883982
DRI47,OUT019,422.9037042521295
FDW40,OUT013,2319.6979523060854
FDN34,OUT046,2737.9613887025926
FDS01,OUT035,2990.141197814747
NCG55,OUT045,1761.2702783930704
FDC11,OUT035,1543.2200157681484
FDX35,OUT018,3348.345136757678
NCB06,OUT046,2520.5752820587745
FDR09,OUT019,2195.560271840876
FDC53,OUT017,1673.5468338099392
FDY45,OUT013,4068.122322036981
FDA22,OUT010,767.1333042383866
FDE02,OUT035,1676.8764593476722
FDW21,OUT045,1605.3153961185192
FDV34,OUT046,1259.6947525427654
FDS59,OUT049,1900.7369205814898
NCW17,OUT017,2141.3420181754454
NCK54,OUT046,1863.6078531473981
FDG17,OUT019,2009.7019679714983
FDG35,OUT017,2892.7409632198533
FDD08,OUT010,-1270.0152723404296
NCO07,OUT017,3421.74415693492
FDJ10,OUT010,363.77886062471396
FDW36,OUT017,1772.4104616419968
FDW21,OUT010,-232.09328198740536
FDY19,OUT017,1988.288658994981
DRE03,OUT013,811.8986057357763
NCC55,OUT049,725.1472487334349
FDH52,OUT010,-809.2840653575099
FDO09,OUT017,4318.392938163775
FDU43,OUT045,3764.068881048584
FDX09,OUT010,874.7123713804111
FDH40,OUT019,-512.9555509939976
FDW58,OUT017,1783.77242118521
FDC47,OUT017,3673.148086849043
NCR41,OUT035,1652.3395366907632
DRG49,OUT035,3997.6064678455855
FDC52,OUT027,3933.3363831456973
FDY13,OUT046,1228.1656266953821
FDY35,OUT013,825.8545266412655
FDI35,OUT017,3004.758182397932
NCU18,OUT049,2330.5954757422687
FDY33,OUT018,2283.1656801500185
FDC15,OUT027,3936.846291262521
FDU01,OUT049,3108.0981603449577
NCU42,OUT046,2681.6773299237084
NCV29,OUT018,2529.0330590749695
NCY30,OUT017,2994.099606558324
FDQ46,OUT049,1896.9908842867571
